"0","Period End Date","9/30/2016","12/31/2016","12/31/2017"
"0","Stmt Source","10-Q","6-K","6-K"
"0","Stmt Source Date","8/31/2017","8/30/2018","8/30/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","2.8","42.6","38.7"
"0","Cost of Revenue","1.9","26.2","21.8"
"0","Gross Profit","0.9","16.5","16.9"
"0","Selling,General and Administrative","2.0","13.3","12.0"
"1","General and Administrative Expense","1.9","12.8","11.4"
"1","Selling and Marketing Expense","0.1","0.5","0.6"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-1.4","-52.7","-51.2"
"0","Operating Expenses","2.0","13.3","12.0"
"0","Operating Income","-1.1","3.2","4.9"
"0","Net Interest Income","-0.2","-0.9","-0.9"
"0","Other Income/Expense,Net","-1.5","-52.4","-51.1"
"0","Pre-Tax Income","-2.7","-49.8","-2.4"
"0","Provision for Income Tax","0.1","3.4","-0.2"
"0","Net Income","-2.8","-53.2","-2.2"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.04","0.02","0.08"
"0","Basic EPS","-1.20","-22.30","-0.95"
"1","Basic Weighted Average Shares","2.41","2.39","2.41"
"1","Basic EPS from Continuing Operations","-1.20","-22.30","-0.95"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-"
"0","Diluted EPS","-1.20","-22.30","-0.95"
"1","Diluted Weighted Average Shares","2.41","2.39","2.41"
"1","Diluted EPS from Continuing Operations","-1.20","-22.30","-0.95"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-"
