"0","Period End Date","9/30/2016","12/31/2016","6/30/2017"
"0","Stmt Source","Quarterly","NA","6-K"
"0","Stmt Source Date","10/25/2016","-","7/20/2017"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","77.2","81.8","89.7"
"0","Cost of Revenue","24.3","27.8","35.9"
"0","Gross Profit","52.9","54.0","53.8"
"0","Selling,General and Administrative","7.8","10.3","7.6"
"1","General and Administrative Expense","7.8","10.3","7.6"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-","-","-"
"0","Operating Expenses","11.6","17.5","13.0"
"0","Operating Income","41.3","36.5","40.7"
"0","Net Interest Income","-3.3","3.0","-2.6"
"0","Other Income/Expense,Net","-2.0","0.4","-2.0"
"0","Pre-Tax Income","36.0","39.8","36.1"
"0","Provision for Income Tax","10.9","10.5","9.8"
"0","Net Income","24.9","29.3","26.2"
"0","Dividend Per Share","0.00","0.00","1.62"
"0","Tax Rate","0.01495182","0.01443624","0.01443624"
"0","Basic EPS","0.51","0.59","0.49"
"1","Basic Weighted Average Shares","2.53","2.54","2.54"
"1","Basic EPS from Continuing Operations","0.51","0.59","0.49"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","0.51","0.59","0.49"
"1","Diluted Weighted Average Shares","2.53","2.54","2.54"
"1","Diluted EPS from Continuing Operations","0.51","0.59","0.49"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
