"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/12/2018","3/12/2018","3/12/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","42.1","43.6","51.5"
"0","Cost of Revenue","-","-","-"
"0","Gross Profit","-","-","-"
"0","Selling,General and Administrative","14.1","12.8","16.2"
"1","General and Administrative Expense","14.1","12.8","16.2"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","0.3","-","-1.1"
"0","Operating Expenses","14.1","12.8","16.2"
"0","Operating Income","27.9","30.9","35.3"
"0","Net Interest Income","-6.3","-7.9","-9.1"
"0","Other Income/Expense,Net","-6.1","-11.9","-7.0"
"0","Pre-Tax Income","15.5","11.1","19.2"
"0","Provision for Income Tax","-","-","-"
"0","Net Income","15.5","11.1","19.2"
"0","Dividend Per Share","1.44","1.44","1.44"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","1.03","0.69","1.18"
"1","Basic Weighted Average Shares","15.04","16.16","16.32"
"1","Basic EPS from Continuing Operations","1.03","0.69","1.18"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","1.03","0.69","1.18"
"1","Diluted Weighted Average Shares","15.04","16.16","16.32"
"1","Diluted EPS from Continuing Operations","1.03","0.69","1.18"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
