"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/1/2018","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","191.4","229.6","269.9"
"0","Cost of Revenue","91.1","97.3","105.2"
"0","Gross Profit","100.3","132.2","164.7"
"0","Selling,General and Administrative","74.8","109.2","131.4"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-4.2","3.0","-2.0"
"0","Operating Expenses","74.8","109.2","131.4"
"0","Operating Income","25.6","23.1","33.3"
"0","Net Interest Income","-12.7","-16.3","-8.8"
"0","Other Income/Expense,Net","-4.2","3.0","-2.0"
"0","Pre-Tax Income","8.7","9.8","22.5"
"0","Provision for Income Tax","4.3","4.5","-11.0"
"0","Net Income","4.4","5.3","33.5"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.40","0.40","0.40"
"0","Basic EPS","-","-39.47","0.74"
"1","Basic Weighted Average Shares","41.92","12.61","45.36"
"1","Basic EPS from Continuing Operations","-","-39.47","0.74"
"1","Basic EPS,Continuing and Discontinued","-","0.00","0.00"
"0","Diluted EPS","-","-39.47","0.68"
"1","Diluted Weighted Average Shares","44.71","12.61","49.37"
"1","Diluted EPS from Continuing Operations","-","-39.47","0.68"
"1","Diluted EPS,Continuing and Discontinued","-","0.00","0.00"
