"0","Period End Date","9/30/2016","12/31/2016","3/31/2017"
"0","Stmt Source","10-Q","NA","10-Q"
"0","Stmt Source Date","11/9/2016","-","5/9/2017"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","1,305.2","1,469.1","1,327.3"
"0","Cost of Revenue","703.0","770.6","750.3"
"0","Gross Profit","602.2","698.5","577.0"
"0","Selling,General and Administrative","389.4","367.0","366.2"
"1","General and Administrative Expense","176.7","160.2","156.8"
"1","Selling and Marketing Expense","212.7","206.8","209.4"
"0","Research and Development","243.6","253.8","252.2"
"0","Special Income/Charges","-17.8","50.4","1.6"
"0","Operating Expenses","644.6","632.3","629.9"
"0","Operating Income","-42.4","66.2","-52.9"
"0","Net Interest Income","-1.5","-0.1","1.7"
"0","Other Income/Expense,Net","-14.6","-17.3","11.3"
"0","Pre-Tax Income","-58.4","48.7","-39.9"
"0","Provision for Income Tax","-105.5","-1.5","-26.2"
"0","Net Income","162.8","162.0","99.4"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate"
"0","Basic EPS","0.17","0.17","0.10"
"1","Basic Weighted Average Shares","951.42","953.80","955.86"
"1","Basic EPS from Continuing Operations","0.17","0.17","0.10"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","0.17","0.17","0.10"
"1","Diluted Weighted Average Shares","957.30","953.80","963.17"
"1","Diluted EPS from Continuing Operations","0.17","0.17","0.10"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
