"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/31/2017","3/16/2018","3/16/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","-","-","-"
"0","Cost of Revenue","-","-","-"
"0","Gross Profit","-","-","-"
"0","Selling,General and Administrative","3.3","4.1","7.7"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","1.4","2.5","2.4"
"0","Special Income/Charges","0.0","-2.0","-0.1"
"0","Operating Expenses","4.7","6.6","10.1"
"0","Operating Income","-4.7","-6.6","-10.1"
"0","Net Interest Income","-1.6","-5.9","-0.9"
"0","Other Income/Expense,Net","0.4","-2.0","-0.1"
"0","Pre-Tax Income","-5.9","-14.6","-11.1"
"0","Provision for Income Tax","0.0","0.0","0.0"
"0","Net Income","-5.9","-14.6","-11.1"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","-","-2.24","-1.04"
"1","Basic Weighted Average Shares","9.63","6.50","10.63"
"1","Basic EPS from Continuing Operations","-","-2.24","-1.04"
"1","Basic EPS,Continuing and Discontinued","-","0.00","0.00"
"0","Diluted EPS","-","-2.24","-1.04"
"1","Diluted Weighted Average Shares","9.87","6.50","10.63"
"1","Diluted EPS from Continuing Operations","-","-2.24","-1.04"
"1","Diluted EPS,Continuing and Discontinued","-","0.00","0.00"
