"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/15/2018","3/15/2018","3/15/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","118.2","160.2","212.6"
"0","Cost of Revenue","52.8","67.0","82.9"
"0","Gross Profit","65.4","93.1","129.7"
"0","Selling,General and Administrative","68.7","54.9","90.6"
"1","General and Administrative Expense","18.4","18.0","23.8"
"1","Selling and Marketing Expense","50.3","72.9","66.8"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-38.6","-24.4","-17.2"
"0","Operating Expenses","68.7","54.9","90.6"
"0","Operating Income","-3.3","38.2","39.1"
"0","Net Interest Income","-0.8","-19.7","-61.5"
"0","Other Income/Expense,Net","-39.7","-29.9","-29.6"
"0","Pre-Tax Income","-43.8","-11.4","-52.0"
"0","Provision for Income Tax","1.5","1.5","1.3"
"0","Net Income","-45.3","-12.9","-53.3"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.03","0.00","0.03"
"0","Basic EPS","-1.87","-0.95","-1.65"
"1","Basic Weighted Average Shares","24.22","24.26","32.23"
"1","Basic EPS from Continuing Operations","-1.87","-0.95","-1.65"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","-1.87","-0.95","-1.65"
"1","Diluted Weighted Average Shares","24.22","24.26","32.23"
"1","Diluted EPS from Continuing Operations","-1.87","-0.95","-1.65"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
