"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","2/22/2018","2/22/2018","2/22/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","8.6","25.2","37.3"
"0","Cost of Revenue","2.0","4.7","8.7"
"0","Gross Profit","6.6","20.5","28.7"
"0","Selling,General and Administrative","2.5","3.2","3.5"
"1","General and Administrative Expense","2.5","3.2","3.5"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-0.1","-0.2","-0.1"
"0","Operating Expenses","7.7","16.4","21.2"
"0","Operating Income","-1.1","4.0","7.5"
"0","Net Interest Income","-0.3","-1.1","-3.9"
"0","Other Income/Expense,Net","-0.1","-0.2","-0.1"
"0","Pre-Tax Income","-1.5","2.7","3.5"
"0","Provision for Income Tax","-","-","-"
"0","Net Income","-1.5","2.7","3.5"
"0","Dividend Per Share","0.52","1.53","1.57"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","-0.31","0.24","0.19"
"1","Basic Weighted Average Shares","4.73","11.24","14.82"
"1","Basic EPS from Continuing Operations","-0.31","0.24","0.19"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","-0.31","0.24","0.19"
"1","Diluted Weighted Average Shares","4.73","11.32","14.82"
"1","Diluted EPS from Continuing Operations","-0.31","0.24","0.19"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
