"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/14/2017","3/12/2018","3/12/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","-","-","-"
"0","Cost of Revenue","-","-","-"
"0","Gross Profit","-","-","-"
"0","Selling,General and Administrative","6.1","8.0","9.7"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","17.8","20.4","26.4"
"0","Special Income/Charges","1.2","0.9","0.8"
"0","Operating Expenses","23.9","28.4","36.1"
"0","Operating Income","-23.9","-28.4","-36.1"
"0","Net Interest Income","0.0","-0.1","-0.1"
"0","Other Income/Expense,Net","1.2","0.9","0.8"
"0","Pre-Tax Income","-22.6","-27.6","-35.4"
"0","Provision for Income Tax","-","-","-"
"0","Net Income","-22.6","-27.6","-35.4"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","-2.28","-1.47","-1.52"
"1","Basic Weighted Average Shares","9.93","18.70","23.24"
"1","Basic EPS from Continuing Operations","-2.28","-1.47","-1.52"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","-2.28","-1.47","-1.52"
"1","Diluted Weighted Average Shares","9.93","18.70","23.24"
"1","Diluted EPS from Continuing Operations","-2.28","-1.47","-1.52"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
