"0","Period End Date","12/26/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/1/2018","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","319.9","398.6","512.8"
"0","Cost of Revenue","230.1","277.6","312.9"
"0","Gross Profit","89.8","121.0","199.8"
"0","Selling,General and Administrative","76.9","88.2","111.5"
"1","General and Administrative Expense","31.7","35.3","47.4"
"1","Selling and Marketing Expense","45.2","52.9","64.1"
"0","Research and Development","50.5","76.2","107.9"
"0","Special Income/Charges","-2.2","0.7","-42.0"
"0","Operating Expenses","127.3","164.4","219.4"
"0","Operating Income","-37.6","-43.4","-19.6"
"0","Net Interest Income","-0.7","0.1","-1.6"
"0","Other Income/Expense,Net","-2.2","0.7","-42.0"
"0","Pre-Tax Income","-40.5","-42.5","-63.2"
"0","Provision for Income Tax","0.1","0.2","0.3"
"0","Net Income","-40.6","-42.8","-63.5"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","-","-","-2.24"
"1","Basic Weighted Average Shares","85.71","85.71","28.31"
"1","Basic EPS from Continuing Operations","-","-","-2.24"
"1","Basic EPS,Continuing and Discontinued","-","-","0.00"
"0","Diluted EPS","-","-","-2.24"
"1","Diluted Weighted Average Shares","85.71","85.71","28.31"
"1","Diluted EPS from Continuing Operations","-","-","-2.24"
"1","Diluted EPS,Continuing and Discontinued","-","-","0.00"
