"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/1/2018","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","408.3","521.5","559.4"
"0","Cost of Revenue","248.3","287.1","310.0"
"0","Gross Profit","160.0","234.4","249.4"
"0","Selling,General and Administrative","82.9","97.3","108.0"
"1","General and Administrative Expense","82.9","97.3","108.0"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","0.0","0.0","-25.1"
"0","Operating Expenses","101.3","149.7","160.7"
"0","Operating Income","58.7","84.6","88.7"
"0","Net Interest Income","-49.8","-54.8","-53.7"
"0","Other Income/Expense,Net","-0.9","-5.4","-26.2"
"0","Pre-Tax Income","8.0","24.4","8.8"
"0","Provision for Income Tax","-1.8","4.2","9.1"
"0","Net Income","9.7","20.2","-0.2"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.22","0.00","0.25"
"0","Basic EPS","-0.59","-0.46","-0.09"
"1","Basic Weighted Average Shares","50.48","50.48","96.90"
"1","Basic EPS from Continuing Operations","-0.59","-0.46","-0.09"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","-0.59","-0.46","-0.09"
"1","Diluted Weighted Average Shares","50.48","50.48","96.90"
"1","Diluted EPS from Continuing Operations","-0.59","-0.46","-0.09"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
