"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","4/17/2018","4/17/2018","4/17/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","29.5","34.6","76.2"
"0","Cost of Revenue","38.2","32.2","51.0"
"0","Gross Profit","-8.7","2.5","25.2"
"0","Selling,General and Administrative","4.2","6.2","13.4"
"1","General and Administrative Expense","4.2","6.2","13.4"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","0.0","-2.8","2.4"
"0","Operating Expenses","6.5","8.5","18.7"
"0","Operating Income","-15.2","-6.0","6.5"
"0","Net Interest Income","-3.2","-1.8","-2.5"
"0","Other Income/Expense,Net","3.7","-7.2","-14.2"
"0","Pre-Tax Income","-14.7","-15.0","-10.3"
"0","Provision for Income Tax","0.1","0.1","1.7"
"0","Net Income","-14.8","-15.2","6.9"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.16"
"0","Basic EPS","-","-2.59","-1.43"
"1","Basic Weighted Average Shares","10.23","5.86","5.95"
"1","Basic EPS from Continuing Operations","-","-2.59","-1.43"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","-","-2.59","-1.43"
"1","Diluted Weighted Average Shares","10.23","5.86","5.95"
"1","Diluted EPS from Continuing Operations","-","-2.59","-1.43"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
