"0","Period End Date","12/31/2015","3/31/2017","3/31/2018"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/15/2016","6/29/2018","6/29/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.0","130.9","136.7"
"0","Cost of Revenue","0.0","103.0","107.7"
"0","Gross Profit","0.0","27.9","29.0"
"0","Selling,General and Administrative","2.4","26.1","30.7"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","0.0","-","-"
"0","Operating Expenses","2.4","26.1","30.7"
"0","Operating Income","-2.4","1.8","-1.7"
"0","Net Interest Income","-","-0.3","-0.8"
"0","Other Income/Expense,Net","0.0","1.4","1.7"
"0","Pre-Tax Income","-2.4","2.9","-0.9"
"0","Provision for Income Tax","-","1.7","-0.1"
"0","Net Income","-2.4","1.2","-0.8"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.40","0.11"
"0","Basic EPS","-1.60","0.10","-0.06"
"1","Basic Weighted Average Shares","2.61","12.28","14.14"
"1","Basic EPS from Continuing Operations","-1.60","0.10","-0.06"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-"
"0","Diluted EPS","-1.60","0.10","-0.06"
"1","Diluted Weighted Average Shares","2.61","12.28","14.14"
"1","Diluted EPS from Continuing Operations","-1.60","0.10","-0.06"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-"
