"0","Period End Date","9/30/2016","12/31/2016"
"0","Stmt Source","10-Q","NA"
"0","Stmt Source Date","11/9/2016","-"
"0","Stmt Update Type","-","-"
"0","Currency Code"
"0","Total Revenue","41.3","42.4"
"0","Cost of Revenue","21.9","22.3"
"0","Gross Profit","19.4","20.1"
"0","Selling,General and Administrative","13.4","-4.5"
"1","General and Administrative Expense","-","-"
"1","Selling and Marketing Expense","-","-"
"0","Research and Development","-","-"
"0","Special Income/Charges","-27.9","-19.7"
"0","Operating Expenses","29.7","14.4"
"0","Operating Income","-10.3","5.7"
"0","Net Interest Income","-8.9","-12.3"
"0","Other Income/Expense,Net","-27.2","-19.5"
"0","Pre-Tax Income","-46.4","-26.1"
"0","Provision for Income Tax","-","-"
"0","Net Income","-45.3","-26.2"
"0","Dividend Per Share","0.77","0.38"
"0","Tax Rate","0.00","0.00"
"0","Basic EPS","-2.70","-1.60"
"1","Basic Weighted Average Shares","16.54","16.57"
"1","Basic EPS from Continuing Operations","-2.70","-1.60"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00"
"0","Diluted EPS","-2.70","-1.60"
"1","Diluted Weighted Average Shares","16.54","16.57"
"1","Diluted EPS from Continuing Operations","-2.70","-1.60"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00"
