"0","Period End Date","2/29/2016","2/28/2017","2/28/2018"
"0","Stmt Source","20-F","20-F","20-F"
"0","Stmt Source Date","6/27/2018","6/27/2018","6/27/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","13.7","29.7","44.0"
"0","Cost of Revenue","8.0","12.5","16.0"
"0","Gross Profit","5.7","17.2","28.0"
"0","Selling,General and Administrative","4.8","8.0","19.0"
"1","General and Administrative Expense","4.1","6.2","13.6"
"1","Selling and Marketing Expense","0.7","1.8","5.4"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-","-","-"
"0","Operating Expenses","4.8","8.0","19.0"
"0","Operating Income","0.9","9.3","9.0"
"0","Net Interest Income","0.2","0.4","0.8"
"0","Other Income/Expense,Net","-4.9","-4.2","0.2"
"0","Pre-Tax Income","-3.8","5.5","10.0"
"0","Provision for Income Tax","0.7","2.9","3.9"
"0","Net Income","-4.5","2.6","6.5"
"0","Dividend Per Share","-","-","0.39"
"0","Tax Rate","0.05708625"
"0","Basic EPS","-","0.05","0.16"
"1","Basic Weighted Average Shares","5.63","6.97","4.99"
"1","Basic EPS from Continuing Operations","-","0.05","0.16"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","-","0.05","0.14"
"1","Diluted Weighted Average Shares","5.87","6.97","5.42"
"1","Diluted EPS from Continuing Operations","-","0.05","0.14"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
