"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/23/2017","3/29/2018","3/29/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","79.5","58.0","94.1"
"0","Cost of Revenue","22.8","18.5","17.4"
"0","Gross Profit","56.7","39.5","76.7"
"0","Selling,General and Administrative","13.4","11.8","12.6"
"1","General and Administrative Expense","13.4","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-29.7","-6.6","-37.0"
"0","Operating Expenses","72.5","62.1","71.0"
"0","Operating Income","-15.8","-22.6","5.7"
"0","Net Interest Income","-24.6","-29.6","-26.1"
"0","Other Income/Expense,Net","-2.1","-14.7","-48.0"
"0","Pre-Tax Income","-42.5","-66.9","-68.4"
"0","Provision for Income Tax","-15.1","27.4","-29.7"
"0","Net Income","-27.3","-94.3","-38.7"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.36","0.40","0.40"
"0","Basic EPS","-3.63","-11.64","-1.92"
"1","Basic Weighted Average Shares","7.52","8.11","22.25"
"1","Basic EPS from Continuing Operations","-3.63","-11.64","-1.92"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","-3.63","-11.64","-1.92"
"1","Diluted Weighted Average Shares","7.52","8.11","22.25"
"1","Diluted EPS from Continuing Operations","-3.63","-11.64","-1.92"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
