"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/16/2018","3/16/2018","3/16/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","805.2","789.9","1,152.3"
"0","Cost of Revenue","559.8","519.1","829.1"
"0","Gross Profit","245.4","270.8","323.2"
"0","Selling,General and Administrative","129.7","140.9","254.4"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-3.2","-0.7","-105.9"
"0","Operating Expenses","205.1","220.6","353.3"
"0","Operating Income","40.3","50.2","-30.1"
"0","Net Interest Income","-108.8","-109.4","-128.5"
"0","Other Income/Expense,Net","-3.2","-0.7","-105.9"
"0","Pre-Tax Income","-71.7","-59.9","-264.5"
"0","Provision for Income Tax","-26.8","-11.8","-60.2"
"0","Net Income","-44.9","-48.1","-204.3"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.23"
"0","Basic EPS","-0.70","-0.75","-2.08"
"1","Basic Weighted Average Shares","64.02","64.02","107.07"
"1","Basic EPS from Continuing Operations","-0.70","-0.75","-2.08"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","-0.70","-0.75","-2.08"
"1","Diluted Weighted Average Shares","64.02","64.02","107.07"
"1","Diluted EPS from Continuing Operations","-0.70","-0.75","-2.08"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
