"0","Period End Date","12/31/2014","12/31/2016","12/31/2017"
"0","Stmt Source","10-12B/A","10-K","10-K"
"0","Stmt Source Date","3/25/2015","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","703.2","770.4","916.0"
"0","Cost of Revenue","23.7","49.7","102.2"
"0","Gross Profit","679.5","720.7","813.9"
"0","Selling,General and Administrative","1.8","69.1","110.1"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-","-","-"
"0","Operating Expenses","349.5","445.0","555.5"
"0","Operating Income","330.0","275.7","258.3"
"0","Net Interest Income","-223.1","-275.4","-306.0"
"0","Other Income/Expense,Net","-","-","-"
"0","Pre-Tax Income","106.9","0.3","-47.7"
"0","Provision for Income Tax","3.1","0.5","-38.8"
"0","Net Income","103.8","-0.2","-9.4"
"0","Dividend Per Share","-","2.40","2.40"
"0","Tax Rate","0.03","0.40","0.40"
"0","Basic EPS","0.69","-0.04","-0.10"
"1","Basic Weighted Average Shares","150.70","152.47","168.69"
"1","Basic EPS from Continuing Operations","0.69","-0.04","-0.10"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","0.69","-0.04","-0.13"
"1","Diluted Weighted Average Shares","150.70","152.47","168.99"
"1","Diluted EPS from Continuing Operations","0.69","-0.04","-0.13"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
