"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/15/2018","3/15/2018","3/15/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.0","0.0","2.1"
"0","Cost of Revenue","0.0","0.0","9.5"
"0","Gross Profit","0.0","0.0","-7.5"
"0","Selling,General and Administrative","-","-","-"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","5.5","13.0","15.0"
"0","Special Income/Charges","-5.8","-","-2.4"
"0","Operating Expenses","5.5","13.0","15.0"
"0","Operating Income","-5.5","-13.0","-22.4"
"0","Net Interest Income","-1.1","-0.6","-1.7"
"0","Other Income/Expense,Net","-5.8","-","-2.4"
"0","Pre-Tax Income","-12.3","-13.6","-26.6"
"0","Provision for Income Tax","0.0","0.0","0.0"
"0","Net Income","-12.3","-13.6","-26.6"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","-1.47","-0.89","-1.31"
"1","Basic Weighted Average Shares","8.40","15.27","20.29"
"1","Basic EPS from Continuing Operations","-1.47","-0.89","-1.31"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","-1.47","-0.89","-1.31"
"1","Diluted Weighted Average Shares","8.40","15.27","20.29"
"1","Diluted EPS from Continuing Operations","-1.47","-0.89","-1.31"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
