symbol,close,volume,avg volume,total days,over 1%,over 2%,over 3%,over 4%,over 5%,rate001,rate002,rate003,rate004,rate005,year5CP,year2CP,year1CP,ytdCP,month6CP,month3CP,month1CP,day5CP,day30CP
REDU,11.83,45383,332047.74261603376,237,159,114,84,55,30,0.6708860759493671,0.4810126582278481,0.35443037974683544,0.2320675105485232,0.12658227848101267,-0.28777844671884406,-0.28777844671884406,-0.28777844671884406,-0.20497311827956993,-0.21655629139072846,-0.15980113636363635,0.12881679389312972,-0.01988400994200499,0.07252946509519499
REI,9.91,749981,277951.5984126984,1260,864,583,366,229,151,0.6857142857142857,0.4626984126984127,0.2904761904761905,0.18174603174603174,0.11984126984126985,-0.3165045865232085,-0.06155303030303033,-0.30504908835904626,-0.3189003436426117,-0.3045614035087719,-0.24351145038167935,-0.11200716845878136,-0.10640216411181241,-0.1748542880932556
RKDA,4.89,30744,97569.43595769683,851,600,512,423,331,264,0.7050528789659224,0.6016451233842538,0.4970622796709753,0.3889541715628672,0.3102232667450059,-0.9665068493150686,-0.8733160621761658,-0.525242718446602,-0.0927643784786642,-0.7841059602649006,-0.3955500618046972,-0.2225755166931638,-0.00204081632653075,-0.22748815165876785
RWGE=,10.3,10,103098.30612244898,124,3,1,1,0,0,0.024193548387096774,0.008064516129032258,0.008064516129032258,0.0,0.0,0.030000000000000072,0.030000000000000072,0.030000000000000072,0.03206412825651305,0.02182539682539689,0.014778325123152743,0.0,-0.0013573783207290427,-0.004830917874396033
RSXJ,32.32,12845,35738.046899841014,1256,333,108,36,9,5,0.26512738853503187,0.08598726114649681,0.028662420382165606,0.007165605095541401,0.003980891719745223,-0.1346789717887138,0.06612832464135271,-0.20178610238476283,-0.22031804847923428,-0.22176739706236456,-0.09594405594405593,0.0018598884066956688,-0.004006163328197305,0.010015781496585855
RICK,29.61,15446,49857.22222222222,1260,692,322,129,65,29,0.5492063492063493,0.25555555555555554,0.10238095238095238,0.051587301587301584,0.023015873015873017,1.559979250421476,1.6131158825553995,0.16243919865893533,0.04598298025667385,0.05013405966719151,-0.05034974454696777,-0.08068887791883611,-0.0033658700774150596,-0.09830898676240846
RCON,1.23,64080,207915.32301587303,1260,865,721,578,472,374,0.6865079365079365,0.5722222222222222,0.4587301587301587,0.3746031746031746,0.2968253968253968,-0.4444444444444444,0.11818181818181807,0.17131701742691166,-0.03149606299212601,0.06956521739130442,-0.11834277112751776,-0.039062500000000035,-0.11954187544738729,0.008196721311475417
RNDB,16.53,7888,12393.859680284191,531,144,47,19,9,5,0.2711864406779661,0.08851224105461393,0.035781544256120526,0.01694915254237288,0.009416195856873822,0.3560406566091602,0.24192336589030808,0.10200000000000008,0.07337662337662343,0.029265255292652705,-0.0032321088304107324,-0.03615160349854213,-0.010771992818671437,-0.030066187860864638
RNST,41.21,159952,144947.02222222224,1260,541,164,42,12,7,0.42936507936507934,0.13015873015873017,0.03333333333333333,0.009523809523809525,0.005555555555555556,0.6785193512386258,0.27819805401247505,-0.01696985310605079,0.012869165126430498,-0.015356237470939697,-0.09986850784802831,-0.11222271770578184,-0.04296330701346961,-0.10916558581928226
ROG,147.32,144447,123714.34761904762,1260,632,243,98,50,31,0.5015873015873016,0.19285714285714287,0.07777777777777778,0.03968253968253968,0.024603174603174603,1.4767989240080701,1.4222295297599474,0.12013381995133807,-0.14294025248705564,0.2517631064661398,0.337934792480247,0.048988892053545965,-0.017997600319957452,0.12107145574918193
RENN,1.41,120943,860490.7785714286,1260,895,546,333,199,128,0.7103174603174603,0.43333333333333335,0.2642857142857143,0.15793650793650793,0.10158730158730159,3.5853807654659033,6.965336662580429,0.7802693130811915,0.24316698994886246,0.8730572013071547,-0.40506329113924056,-0.18965517241379315,0.02173913043478263,-0.29500000000000004
ROIC,18.67,1070298,743571.8007936508,1260,447,103,21,7,4,0.3547619047619048,0.08174603174603175,0.016666666666666666,0.005555555555555556,0.0031746031746031746,0.6457894412073238,-0.09897736102196326,0.02222392562458608,-0.038139544468658276,0.07967754247579836,-0.02282005652674552,-0.038758572399447924,0.02301369863013708,-0.024336710964323136
REXR-B,24.77,100,18456.364928909952,205,23,5,1,1,0,0.11219512195121951,0.024390243902439025,0.004878048780487805,0.004878048780487805,0.0,0.04289028390024963,0.04289028390024963,0.04289028390024963,0.038744281035473296,0.0768441553924807,0.003297068282527101,0.018009354014088493,0.013353188564695855,0.012181318164915597
RMNI,6.31,23097,55821.37603305785,450,172,108,84,66,48,0.38222222222222224,0.24,0.18666666666666668,0.14666666666666667,0.10666666666666667,-0.35282051282051285,-0.35612244897959194,-0.3647118046816008,-0.19102564102564107,-0.23607748184019373,-0.04682779456193361,0.24457593688362905,-0.03664122137404584,0.30912863070539404
RLM,2.9869,17035,8428.666666666666,15,8,7,7,7,5,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.3333333333333333,-0.556839762611276,-0.556839762611276,-0.556839762611276,-0.556839762611276,-0.556839762611276,-0.556839762611276,-0.556839762611276,-0.014224422442244198,-0.556839762611276
RBB,24.5,142622,63449.48322147651,298,125,45,10,4,1,0.41946308724832215,0.15100671140939598,0.03355704697986577,0.013422818791946308,0.003355704697986577,0.06608880302160021,0.06608880302160021,0.08278199841781247,-0.07936269352171947,-0.08346457871168793,-0.24107018397078273,-0.13092522764438166,-0.0774421424429332,-0.16288255413074748
RYB,21.06,108504,487181.18897637795,254,176,116,80,50,33,0.6929133858267716,0.4566929133858268,0.31496062992125984,0.1968503937007874,0.12992125984251968,-0.18687258687258687,-0.18687258687258687,-0.1559118236472946,0.23882352941176463,0.2872860635696821,0.058291457286432175,0.02382109868740877,0.04412493802677228,0.05405405405405397
ROSE,6.1,3203707,38829.833333333336,510,233,165,123,81,56,0.4568627450980392,0.3235294117647059,0.2411764705882353,0.1588235294117647,0.10980392156862745,-0.3869346733668342,-0.39663699307616224,-0.15862068965517245,-0.22588832487309649,0.00993377483443702,-0.24317617866004973,-0.2579075425790755,-0.15277777777777785,-0.08682634730538924
RFDI,61.78,15900,41425.2064516129,618,32,5,1,1,0,0.05177993527508091,0.008090614886731391,0.0016181229773462784,0.0016181229773462784,0.0,0.2730243704422617,0.21098313483507272,0.007501630789302036,-0.027448066545346938,-0.0071753995484239086,0.02046546968170338,-0.002974293262410781,-0.004190844616376499,0.02745934151464603
RVNU,26.162,6868,9432.0900243309,1185,32,1,0,0,0,0.0270042194092827,0.0008438818565400844,0.0,0.0,0.0,0.3237265924235601,0.0006655294018649559,0.007331084723313171,-0.014725266448235672,0.00427629306042854,-0.0007180834810243525,-0.008470561482632559,0.0008416220351950446,-0.00921405929870145
ROAM,23.08,7698,8772.058888888889,778,34,2,0,0,0,0.043701799485861184,0.002570694087403599,0.0,0.0,0.0,-0.02265095342347418,0.080650825237036,-0.033237690326093854,-0.10823300310650208,-0.09940493610379486,0.03730337078651678,-0.01668399256974388,0.006541648495420784,0.013614404918752689
RDUS,17.8,648815,798837.6314338235,1088,826,581,408,271,190,0.7591911764705882,0.5340073529411765,0.375,0.24908088235294118,0.17463235294117646,1.2222222222222223,-0.6937897815241699,-0.5486815415821501,-0.45962355798421367,-0.4821064882164678,-0.38429609131788306,-0.1359223300970874,0.028307336799537956,-0.10955477738869424
RWT,16.24,652745,534916.9658730159,1260,453,112,46,15,3,0.3595238095238095,0.08888888888888889,0.03650793650793651,0.011904761904761904,0.002380952380952381,0.17230924709449208,0.3211200234287293,0.06982872200263496,0.1610200390342943,0.09989840839823894,0.002648622284236036,-0.019353280396123464,0.0024691358024690833,0.010000497537190798
RDC,18.83,3797647,2928768.8753968254,1260,792,463,266,160,87,0.6285714285714286,0.3674603174603175,0.2111111111111111,0.12698412698412698,0.06904761904761905,-0.4712887022004835,0.28972602739726017,0.48501577287066233,0.16306361951822093,0.704072398190045,0.1798245614035086,0.35956678700361,-0.003703703703703719,0.4506933744221878
RS,85.29,332294,556479.0873015873,1260,529,132,34,18,9,0.41984126984126985,0.10476190476190476,0.026984126984126985,0.014285714285714285,0.007142857142857143,0.3061555778463518,0.21141620221233678,0.14413037908289827,-0.013270921861098933,0.037506675246664914,-0.022791226317381424,-0.03952702702702693,-0.0030391583869081346,-0.03714156694513425
RAD,1.28,8275807,22410567.915873017,1260,612,340,189,105,70,0.4857142857142857,0.2698412698412698,0.15,0.08333333333333333,0.05555555555555555,-0.7310924369747899,-0.8341968911917098,-0.36945812807881767,-0.3990610328638497,-0.23353293413173648,-0.2727272727272727,-0.11111111111111106,0.03225806451612906,-0.12328767123287668
