"0","Period End Date","3/31/2017","7/31/2017","12/31/2017"
"0","Stmt Source","10-KT","NA","NA"
"0","Stmt Source Date","3/15/2018","3/15/2018","3/15/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","601.6","151.4","178.8"
"0","Cost of Revenue","573.0","172.4","145.8"
"0","Gross Profit","28.7","-21.0","32.9"
"0","Selling,General and Administrative","145.9","41.8","46.6"
"1","General and Administrative Expense","145.9","41.8","46.6"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-460.6","-1,578.1","-14.5"
"0","Operating Expenses","145.9","41.8","46.6"
"0","Operating Income","-117.2","-62.9","-13.7"
"0","Net Interest Income","-69.8","-8.8","-10.2"
"0","Other Income/Expense,Net","-456.6","-1,576.5","-12.7"
"0","Pre-Tax Income","-643.6","-1,648.1","-36.7"
"0","Provision for Income Tax","6.4","-1.2","2.0"
"0","Net Income","-660.1","-1,646.9","-39.3"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","-","-","-1.82"
"1","Basic Weighted Average Shares","18.46","18.46","21.54"
"1","Basic EPS from Continuing Operations","-","-","-1.82"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","-","-","-1.82"
"1","Diluted Weighted Average Shares","18.46","18.46","21.54"
"1","Diluted EPS from Continuing Operations","-","-","-1.82"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
