"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/2/2018","3/2/2018","3/2/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","1.7","6.5","12.2"
"0","Cost of Revenue","-","-","-"
"0","Gross Profit","-","-","-"
"0","Selling,General and Administrative","5.0","9.4","9.6"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-0.7","-0.3","-0.2"
"0","Operating Expenses","5.0","9.4","10.0"
"0","Operating Income","-3.2","-2.9","2.1"
"0","Net Interest Income","0.1","-0.5","-0.4"
"0","Other Income/Expense,Net","0.1","19.4","12.8"
"0","Pre-Tax Income","-2.9","16.0","14.6"
"0","Provision for Income Tax","-","-","-"
"0","Net Income","-2.9","16.0","14.6"
"0","Dividend Per Share","1.40","1.40","1.40"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","-0.69","2.42","1.10"
"1","Basic Weighted Average Shares","4.50","6.06","11.74"
"1","Basic EPS from Continuing Operations","-0.69","2.42","1.10"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","-0.69","2.42","1.10"
"1","Diluted Weighted Average Shares","4.50","6.21","11.91"
"1","Diluted EPS from Continuing Operations","-0.69","2.42","1.10"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
