"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/16/2018","3/16/2018","3/16/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","678.8","651.8","846.3"
"0","Cost of Revenue","252.3","220.9","319.0"
"0","Gross Profit","426.6","430.9","527.3"
"0","Selling,General and Administrative","225.0","245.5","311.3"
"1","General and Administrative Expense","222.1","243.8","309.3"
"1","Selling and Marketing Expense","2.9","1.7","2.0"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","1.0","-1.9","-6.6"
"0","Operating Expenses","396.5","418.3","517.6"
"0","Operating Income","30.0","12.5","9.7"
"0","Net Interest Income","-20.5","-23.1","-29.2"
"0","Other Income/Expense,Net","1.2","-1.6","-5.8"
"0","Pre-Tax Income","10.7","-12.1","-25.3"
"0","Provision for Income Tax","7.5","0.2","-52.3"
"0","Net Income","3.3","-12.3","27.0"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.40","0.00","0.40"
"0","Basic EPS","-0.07","-0.81","0.59"
"1","Basic Weighted Average Shares","20.98","20.98","37.59"
"1","Basic EPS from Continuing Operations","-0.07","-0.81","0.59"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","-0.07","-0.81","0.56"
"1","Diluted Weighted Average Shares","20.98","20.98","39.59"
"1","Diluted EPS from Continuing Operations","-0.07","-0.81","0.56"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
