"0","Period End Date","9/30/2016","12/31/2016"
"0","Stmt Source","6-K","NA"
"0","Stmt Source Date","2/10/2017","-"
"0","Stmt Update Type","-","-"
"0","Currency Code"
"0","Total Revenue","23.4","13.8"
"0","Cost of Revenue","10.1","9.0"
"0","Gross Profit","13.2","4.9"
"0","Selling,General and Administrative","8.7","10.4"
"1","General and Administrative Expense","8.5","10.1"
"1","Selling and Marketing Expense","0.2","0.3"
"0","Research and Development","-","-"
"0","Special Income/Charges","11.1","1.5"
"0","Operating Expenses","8.7","10.2"
"0","Operating Income","4.5","-5.3"
"0","Net Interest Income","-2.4","-0.8"
"0","Other Income/Expense,Net","11.5","-3.7"
"0","Pre-Tax Income","13.6","-9.8"
"0","Provision for Income Tax","-0.6","-1.1"
"0","Net Income","14.1","-8.1"
"0","Dividend Per Share","-","-"
"0","Tax Rate","0.35","0.28"
"0","Basic EPS","0.24","-0.16"
"1","Basic Weighted Average Shares","58.67","52.61"
"1","Basic EPS from Continuing Operations","0.24","-0.16"
"1","Basic EPS,Continuing and Discontinued","0.00","-"
"0","Diluted EPS","0.24","-0.16"
"1","Diluted Weighted Average Shares","58.67","52.61"
"1","Diluted EPS from Continuing Operations","0.24","-0.16"
"1","Diluted EPS,Continuing and Discontinued","0.00","-"
