"0","Period End Date","9/30/2016","12/31/2016","3/31/2017"
"0","Stmt Source","NA","6-K","6-K"
"0","Stmt Source Date","-","3/9/2017","8/1/2017"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","-13.7","0.8","0.0"
"0","Cost of Revenue","-12.0","0.4","0.0"
"0","Gross Profit","-1.7","0.4","0.0"
"0","Selling,General and Administrative","-4.4","3.1","3.5"
"1","General and Administrative Expense","-0.3","1.4","2.5"
"1","Selling and Marketing Expense","-4.1","1.6","1.0"
"0","Research and Development","2.0","1.3","1.2"
"0","Special Income/Charges","-0.2","0.6","0.2"
"0","Operating Expenses","-2.4","4.4","4.7"
"0","Operating Income","0.7","-4.0","-4.7"
"0","Net Interest Income","0.6","-0.4","-0.3"
"0","Other Income/Expense,Net","-0.2","0.6","0.2"
"0","Pre-Tax Income","1.1","-3.8","-4.9"
"0","Provision for Income Tax","-0.2","0.2","0.0"
"0","Net Income","1.4","-3.7","-4.2"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00292610","0.00292610","0.00292610"
"0","Basic EPS","0.61","-1.62","-1.81"
"1","Basic Weighted Average Shares","0.34","0.33","0.34"
"1","Basic EPS from Continuing Operations","0.91","-1.62","-1.81"
"1","Basic EPS,Continuing and Discontinued","-0.29","0.00","0.00"
"0","Diluted EPS","0.61","-1.62","-1.81"
"1","Diluted Weighted Average Shares","0.34","0.33","0.34"
"1","Diluted EPS from Continuing Operations","0.91","-1.62","-1.81"
"1","Diluted EPS,Continuing and Discontinued","-0.29","0.00","0.00"
