"0","Period End Date","9/30/2015","9/30/2016","9/30/2017"
"0","Stmt Source","20-F/A","20-F/A","20-F/A"
"0","Stmt Source Date","6/19/2018","6/19/2018","6/19/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","35.0","36.8","45.0"
"0","Cost of Revenue","24.8","25.3","31.8"
"0","Gross Profit","10.2","11.5","13.1"
"0","Selling,General and Administrative","1.6","2.6","3.7"
"1","General and Administrative Expense","1.0","1.6","1.8"
"1","Selling and Marketing Expense","0.6","1.0","1.9"
"0","Research and Development","0.9","1.3","1.3"
"0","Special Income/Charges","0.1","0.2","0.1"
"0","Operating Expenses","2.6","3.9","5.0"
"0","Operating Income","7.6","7.6","8.1"
"0","Net Interest Income","-1.8","-1.4","-1.2"
"0","Other Income/Expense,Net","0.1","0.2","0.1"
"0","Pre-Tax Income","6.0","6.4","6.9"
"0","Provision for Income Tax","1.0","1.1","1.0"
"0","Net Income","5.0","5.2","5.9"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.16","0.17","0.14"
"0","Basic EPS","0.56","0.59","0.56"
"1","Basic Weighted Average Shares","9.00","9.00","10.97"
"1","Basic EPS from Continuing Operations","0.56","0.59","0.56"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","0.56","0.59","0.56"
"1","Diluted Weighted Average Shares","9.00","9.00","10.97"
"1","Diluted EPS from Continuing Operations","0.56","0.59","0.56"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
