"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/16/2018","3/16/2018","3/16/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.0","0.0","0.0"
"0","Cost of Revenue","-","-","-"
"0","Gross Profit","-","-","-"
"0","Selling,General and Administrative","1.6","3.4","15.5"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","2.2","5.5","9.6"
"0","Special Income/Charges","-","-","-"
"0","Operating Expenses","4.5","9.6","25.8"
"0","Operating Income","-4.5","-9.6","-25.8"
"0","Net Interest Income","0.0","0.1","0.2"
"0","Other Income/Expense,Net","-","-","-"
"0","Pre-Tax Income","-4.5","-9.5","-25.6"
"0","Provision for Income Tax","-1.7","0.0","0.0"
"0","Net Income","-2.8","-9.5","-25.6"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.37","0.00","0.00"
"0","Basic EPS","-","-0.86","-1.73"
"1","Basic Weighted Average Shares","13.32","11.01","14.75"
"1","Basic EPS from Continuing Operations","-","-0.86","-1.73"
"1","Basic EPS,Continuing and Discontinued","-","0.00","0.00"
"0","Diluted EPS","-","-0.86","-1.73"
"1","Diluted Weighted Average Shares","13.32","11.01","14.75"
"1","Diluted EPS from Continuing Operations","-","-0.86","-1.73"
"1","Diluted EPS,Continuing and Discontinued","-","0.00","0.00"
