"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/19/2018","3/19/2018","3/19/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","535.6","302.4","692.5"
"0","Cost of Revenue","523.3","346.5","634.7"
"0","Gross Profit","12.2","-44.1","57.8"
"0","Selling,General and Administrative","56.5","54.1","86.0"
"1","General and Administrative Expense","56.5","54.1","86.0"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-20.5","-198.1","0.4"
"0","Operating Expenses","59.7","56.2","87.8"
"0","Operating Income","-47.4","-100.3","-30.0"
"0","Net Interest Income","-13.7","-16.1","-6.6"
"0","Other Income/Expense,Net","-20.5","-198.1","0.7"
"0","Pre-Tax Income","-81.6","-314.5","-36.0"
"0","Provision for Income Tax","0.3","-0.5","-0.9"
"0","Net Income","0.0","-1.0","-16.8"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.02"
"0","Basic EPS","-","-0.05","-0.51"
"1","Basic Weighted Average Shares","19.97","58.37","71.72"
"1","Basic EPS from Continuing Operations","-","-0.05","-0.51"
"1","Basic EPS,Continuing and Discontinued","-","0.00","0.00"
"0","Diluted EPS","-","-0.05","-0.51"
"1","Diluted Weighted Average Shares","19.97","58.37","71.72"
"1","Diluted EPS from Continuing Operations","-","-0.05","-0.51"
"1","Diluted EPS,Continuing and Discontinued","-","0.00","0.00"
