"0","Period End Date","1/31/2016","1/31/2017","1/31/2018"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","3/30/2018","3/30/2018","3/30/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","65.3","101.4","154.5"
"0","Cost of Revenue","20.9","29.9","42.9"
"0","Gross Profit","44.4","71.5","111.7"
"0","Selling,General and Administrative","73.7","105.7","146.7"
"1","General and Administrative Expense","17.1","27.1","36.8"
"1","Selling and Marketing Expense","56.6","78.6","110.0"
"0","Research and Development","43.5","51.8","62.2"
"0","Special Income/Charges","-0.4","-0.3","0.9"
"0","Operating Expenses","117.1","157.4","208.9"
"0","Operating Income","-72.7","-85.9","-97.3"
"0","Net Interest Income","0.1","0.3","1.3"
"0","Other Income/Expense,Net","-0.4","-0.3","0.9"
"0","Pre-Tax Income","-73.0","-86.0","-95.1"
"0","Provision for Income Tax","0.4","0.7","1.3"
"0","Net Income","-73.5","-86.7","-96.4"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.01"
"0","Basic EPS","-","-","-4.06"
"1","Basic Weighted Average Shares","40.30","40.30","23.72"
"1","Basic EPS from Continuing Operations","-","-","-4.06"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","-","-","-4.06"
"1","Diluted Weighted Average Shares","40.30","40.30","23.72"
"1","Diluted EPS from Continuing Operations","-","-","-4.06"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
