"0","Period End Date","12/31/2015","9/30/2017"
"0","Stmt Source","10-K","10-K"
"0","Stmt Source Date","3/15/2016","12/4/2017"
"0","Stmt Update Type","-","-"
"0","Currency Code"
"0","Total Revenue","-","122.5"
"0","Cost of Revenue","-","26.7"
"0","Gross Profit","-","95.9"
"0","Selling,General and Administrative","3.5","62.5"
"1","General and Administrative Expense","-","62.5"
"1","Selling and Marketing Expense","-","-"
"0","Research and Development","-","-"
"0","Special Income/Charges","-","-18.5"
"0","Operating Expenses","3.5","96.3"
"0","Operating Income","-3.5","-0.5"
"0","Net Interest Income","0.0","-29.5"
"0","Other Income/Expense,Net","0.0","-18.9"
"0","Pre-Tax Income","-3.5","-48.9"
"0","Provision for Income Tax","-","0.2"
"0","Net Income","-3.5","-49.1"
"0","Dividend Per Share","-","-"
"0","Tax Rate","0.00","0.00"
"0","Basic EPS","-1.27","-2.68"
"1","Basic Weighted Average Shares","2.79","18.30"
"1","Basic EPS from Continuing Operations","-1.27","-2.68"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00"
"0","Diluted EPS","-1.27","-2.68"
"1","Diluted Weighted Average Shares","2.79","18.30"
"1","Diluted EPS from Continuing Operations","-1.27","-2.68"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00"
