"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","424B4","10-K","10-K"
"0","Stmt Source Date","5/12/2017","3/9/2018","3/9/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","13.9","8.9","14.4"
"0","Cost of Revenue","1.9","1.6","1.1"
"0","Gross Profit","12.1","7.3","13.3"
"0","Selling,General and Administrative","13.7","23.2","46.1"
"1","General and Administrative Expense","8.0","14.9","31.4"
"1","Selling and Marketing Expense","5.7","8.3","14.7"
"0","Research and Development","4.6","7.9","14.0"
"0","Special Income/Charges","0.1","0.7","-8.8"
"0","Operating Expenses","18.4","31.1","60.1"
"0","Operating Income","-6.3","-23.8","-46.8"
"0","Net Interest Income","0.0","-3.9","-4.0"
"0","Other Income/Expense,Net","0.1","0.7","-8.8"
"0","Pre-Tax Income","-6.2","-27.0","-59.6"
"0","Provision for Income Tax","0.0","0.0","0.0"
"0","Net Income","-6.2","-27.0","-59.6"
"0","Dividend Per Share","-","-","-"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","-","-","-3.97"
"1","Basic Weighted Average Shares","6.78","12.63","16.16"
"1","Basic EPS from Continuing Operations","-","-","-3.97"
"1","Basic EPS,Continuing and Discontinued","-","-","-"
"0","Diluted EPS","-","-","-3.97"
"1","Diluted Weighted Average Shares","12.63","12.63","16.16"
"1","Diluted EPS from Continuing Operations","-","-","-3.97"
"1","Diluted EPS,Continuing and Discontinued","-","-","-"
