"0","Period End Date","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K"
"0","Stmt Source Date","2/21/2018","2/21/2018","2/21/2018"
"0","Stmt Update Type","-","-","-"
"0","Currency Code"
"0","Total Revenue","44.4","49.3","61.1"
"0","Cost of Revenue","-","-","-"
"0","Gross Profit","-","-","-"
"0","Selling,General and Administrative","8.6","10.6","11.7"
"1","General and Administrative Expense","-","-","-"
"1","Selling and Marketing Expense","-","-","-"
"0","Research and Development","-","-","-"
"0","Special Income/Charges","-1.6","-1.8","-1.9"
"0","Operating Expenses","18.9","25.5","27.3"
"0","Operating Income","25.5","23.8","33.8"
"0","Net Interest Income","-7.2","-10.7","-7.7"
"0","Other Income/Expense,Net","-1.6","-1.8","-1.9"
"0","Pre-Tax Income","16.7","11.3","24.2"
"0","Provision for Income Tax","-","-","-"
"0","Net Income","12.7","11.1","20.4"
"0","Dividend Per Share","-","-","0.84"
"0","Tax Rate","0.00","0.00","0.00"
"0","Basic EPS","0.42","-0.18","0.64"
"1","Basic Weighted Average Shares","10.95","15.84","31.45"
"1","Basic EPS from Continuing Operations","0.42","-0.18","0.64"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00"
"0","Diluted EPS","0.42","-0.18","0.64"
"1","Diluted Weighted Average Shares","10.95","15.84","31.48"
"1","Diluted EPS from Continuing Operations","0.42","-0.18","0.64"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00"
